"mot","genre","lemme","phonétique","custom_freq_index","définitions","display_date"
"hanoukka","f","hanoukka","anuka","0.078","Fête religieuse juive ayant lieu fin décembre.",""
"happe","f","happe","ap","0.105","Demi-cercle de fer qu'on met au bout des essieux de carrosses pour empêcher que la roue ne les use à force de tourner. | Crampon qui sert à attacher, à lier deux pièces de bois, deux pierres, etc. | Anse mise à chaque côté d'une chaudière. | Outil du luthier pour tenir les pièces qu'il travaille ou assemble. | Tenaille dont le fondeur se sert pour retirer le creuset du feu. | Cheville placée au timon de la charrue pour arrêter la chaîne qui joint celle-ci aux roues. | Serpe.",""
"happy end","m","happy end","apiEnd","0.322","Fin heureuse à une histoire.",""
"haquenée","f","haquenée","ak°ne","0.053","Cheval ou jument de moyenne taille, que montaient autrefois les dames et qui allait ordinairement l'amble. | Grande femme mal faite et dégingandée.",""
"haquet","m","haquet","akE","0.128","Histoire des techniques Sorte de charrette étroite, longue et sans ridelles, sur le devant de laquelle est un treuil et qui servait à voiturer du vin, des ballots de marchandises, etc.",""
"hara-kiri","m","hara-kiri","aRakiRi","0.38","Suicide rituel japonais volontaire ou obligatoire consistant à s'ouvrir l'abdomen avec un sabre. | Suicide attenté afin de se repentir de ses péchés. | Hara-kiri.",""
"harassement","m","harassement","aRas°m@","0.218","État d'une personne harassée.",""
"harceleur","m","harceleur","aRs°l9R","0.068","Qui harcèle.",""
"harceleuse","f","harceleur","aRs°l2z","0.075","Qui harcèle.",""
"harengère","f","harengère","aR@ZER","0.13","Vendeuse de harengs et autres poissons au détail. | Femme criarde et mal embouchée.",""
"harenguet","m","harenguet","aR@gE","0.002","Nom vulgaire donné dans le nord de la France à la clupée spratte, appelée ailleurs esprot et melet.",""
"harenguier","m","harenguier","aR@gje","0.025","Bateau spécialisé dans la pêche du hareng.",""
"harfang","m","harfang","aRf@","0.053","Sorte de grande chouette.",""
"haridelle","f","haridelle","aRidEl","0.385","Mauvais cheval maigre. | Femme grande, sèche et maigre, dont l'extérieur est désagréable à voir.",""
"harissa","f","harissa","aRisa","0.15","Assaisonnement très fort originaire du Maghreb et à base de purée de piments rouges.",""
"harki","m","harki","aRki","0.206","Militaire algérien enrôlé dans l'armée française pendant la guerre d'Algérie. | Algérien musulman soutenant le rattachement de l'Algérie à la République française durant la guerre d'Algérie. | Communauté installée en France en 1962 et qui descend des harkis rapatriés.",""
"harmattan","m","harmattan","aRmat@","0.058","Alizé hivernal, chaud, sec, poussiéreux, soufflant en Afrique de l'Ouest du Sahara vers le golfe de Guinée, entre la fin novembre et le milieu du mois de mars.",""
"harmoniciste","","harmoniciste","aRmonisist","0.005","Joueur d'harmonica.",""
"harmonique","m","harmonique","aRmonik","0.185","Acoustique Tons apparentés entre eux, l'un ayant engendré les autres et tous présentant alors entre eux des relations déterminées de hauteur. | Trois nombres sont en proportion harmonique quand le quotient entre le premier et le second est égal au quotient entre le second et le troisième. | Quatre points distincts alignés A, B, C, D sont en division harmonique si et seulement si . | Sons harmoniques engendrés par le son fondamental.",""
"harpagon","m","harpagon","aRpag§","0.002","Avare.",""
"harpin","m","harpin","aRp5","0.053","Croc de batelier.",""
"harpiste","","harpiste","aRpist","0.223","Musicien ou musicienne qui joue de la harpe.",""
"hart","f","hart","aR","0.272","Corde dont on étranglait les criminels. | Art Chevillette de fer qui sert à étirer les peaux.",""
"hase","f","hase","az","0.159","Femelle du lièvre ou du lapin de garenne.",""
"haussière","f","haussière","osjER","0.086","Cordage qui est composé de trois ou quatre torons et dont la grosseur varie de huit à seize centimètres de circonférence.",""
"haut-de-chausses","m","haut-de-chausses","od°Sos","0.15","Partie du vêtement de l'homme qui le couvre depuis la ceinture jusqu'aux genoux et qui était retenu par une ceinture mobile.",""
"haut-relief","m","haut-relief","oR°ljEf","0.15","Technique de représentation par gravure où le sujet est en relief.",""
"hautain","m","hautain","ot5","0.232","Qui affecte la fierté et le dédain pour mieux marquer la distance entre soi et les autres. | Bois vivant ou mort, mais beaucoup plus grand que l'échalas, et destiné à supporter la vigne dans certains pays. | Cep de vigne cultivé en hauteur. | Champ qui en est planté.",""
"haveneau","m","haveneau","av°no","0.079","Sorte de filet pour prendre le poisson plat. | Épuisette semi-sphérique, pour la pêche aux crevettes.",""
"hayon","m","hayon","Ej§","0.094","Planche de bois amovible fermant l'arrière d'une charrette. | Panneau amovible fermant le coffre d'une voiture. | Porte arrière des voitures et des camionnettes s'ouvrant de manière à offrir un dégagement important facilitant le chargement et de déchargement des marchandises. | Le Mans Abri utilisé par les pâtres et les bergers installé au milieu des prés.",""
"hâblerie","f","hâblerie","abl°Ri","0.154","Discours plein d'exagération, d'emphase, de vanterie. Mensonge débité avec assurance et ostentation.",""
"hâbleur","m","hâbleur","abl9R","0.361","Qui hâble, qui parle avec exagération, emphase et vantardise.",""
"hellène","","hellène","ElEn","0.331","De la Grèce ancienne, relatif à la Grèce ancienne. | Ancien Grec.",""
"hellénisme","m","hellénisme","Elenizm","0.255","Construction propre et particulière à la langue grecque. | Ensemble des idées et des mœurs de la Grèce antique.",""
"helléniste","","helléniste","Elenist","0.156","Désignait en même temps les juifs d'Alexandrie, les juifs qui parlaient la langue des Septante, les juifs qui s'accommodaient aux usages des grecs, et les grecs qui embrassaient le judaïsme.",""
"helminthe","m","helminthe","Elm5t","0.053","Ver intestinal.",""
"hennin","m","hennin","en5","0.255","Coiffe féminine conique très élevée et surmontée d'un voile flottant à son sommet, à la mode en Europe au 15e siècle.",""
"henry","m","henry","@Ri","0.038","Unité de mesure d'inductance du Système international, dont le symbole est H.",""
"heptagone","m","heptagone","Eptagon","0.105","Qui a sept angles et sept côtés. | Forme qui possède sept angles. | En termes de fortification, ouvrage composé de sept bastions.",""
"heptaméron","m","heptaméron","EptameR§","0.053","Ouvrage composé de parties distribuées en sept journées.",""
"heptane","m","heptane","Eptan","0.01","Hydrocarbure saturé de la famille des paraffines, aux nombreux isomères. Sa formule chimique est C7H16.",""
"herbette","f","herbette","ERbEt","0.079","Herbe courte et menue des champs, dans la langue des poètes.",""
"herbicide","m","herbicide","ERbisid","0.08","Produit qui tue les végétaux herbacés ou ligneux.",""
"herbivore","m","herbivore","ERbivOR","0.196","Histoire naturelle Qui se nourrit de substances végétales. | Par ellipse, peut être utilisé comme nom masculin",""
"herboristerie","f","herboristerie","ERboRist°Ri","0.094","Science qui étudie les plantes à usage thérapeutique. | Boutique, commerce d'herboriste.",""
"hermaphrodisme","m","hermaphrodisme","ERmafRodizm","0.053","Terme didactique Réunion de certains caractères des deux sexes dans un seul individu. | Naturelle, il se dit de la Réunion des deux sexes chez certains animaux des classes inférieures et dans certaines plantes.",""
"hermaphrodite","","hermaphrodite","ERmafRodit","0.179","Qui possède à la fois des organes mâles et femelles. | Qui possède à la fois des étamines et du pistil.  se dit aussi de la plante qui possède de telles fleurs). | Être qui réunit certains caractères des deux sexes. | Animaux et plantes qui ont les organes des deux sexes. | Certaines figures généralement couchées où se trouvent réunies et combinées les formes de l'homme et de la femme.",""
"hermès","m","hermès","ERmEz","0.182","Sculpture  Gaine portant une tête de Mercure. | Dieu de l'éloquence, du commerce, des voyageurs et des voleurs dans la mythologie grecque.",""
"hermétisme","m","hermétisme","ERmetizm","0.185","Terme désignant les doctrines philosophiques des alchimistes. | Caractère secret, fermé, rigoureux et inflexible d'une doctrine.",""
"herminette","f","herminette","ERminEt","0.081","Hermine dans sa robe fauve d'été. | Sa fourrure, moins recherchée que la blanche et également appelée roselet. | Espèce de hache recourbée, qui sert à planer, à doler le bois.",""
"herpès","m","herpès","ERpEs","0.365","Éruption vésiculeuse caractérisée par de légères élevures transparentes rassemblées en groupes sur une base enflammée.",""
"herpétologie","f","herpétologie","ERpetOlOZi","0.01","Partie de la zoologie qui traite des reptiles et des amphibiens.",""
"herpétologiste","","herpétologiste","ERpetOlOZist","0.002","Spécialiste des reptiles, qui étudie l'herpétologie.",""
"hertz","m","hertz","ERts","0.022","Unité de fréquence permettant de mesurer le nombre de fois où un événement survient par seconde et dont le symbole est Hz.",""
"hessois","m","hessois","Eswa","0.053","Habitant de Hesse, commune française située dans le département de la Moselle. | Relatif au land de Hesse, en Allemagne | Relatif à Hesse, commune française située dans le département de la Moselle.",""
"hetman","m","hetman","Etm@","0.138","Titre de dignité chez les Cosaques.",""
"heuristique","f","heuristique","2Ristik","0.002","Art d'inventer, de faire des découvertes. | Méthode de résolution de problèmes non fondée sur un modèle formel et qui n'aboutit pas nécessairement à une solution optimale. | Qui aide à la recherche, à la découverte. | Qui nous guide dans la vie quotidienne.",""
"hédonisme","m","hédonisme","edonizm","0.163","Motivation d'une activité économique par la recherche du maximum de satisfaction par le minimum d'efforts.",""
"hédoniste","","hédoniste","edonist","0.115","Relatif à l'hédonisme.",""
"hégire","f","hégire","eZiR","0.298","Début du calendrier musulman, moment où Mahomet s'enfuit de la Mecque. | Calendrier musulman.",""
"héliographe","m","héliographe","eljOgRaf","0.002","Instrument de mesure déterminant l'insolation en un point de la surface de la planète.",""
"héliogravure","f","héliogravure","eljogRavyR","0.053","Sorte de photogravure en creux, qui se tire comme la gravure en taille-douce.",""
"héliotrope","m","héliotrope","eljotROp","0.269","Plante de la famille des Borraginées, à espèces très nombreuses. | Quelques plantes dont la fleur suit le cours du soleil, comme le tournesol. | Pierre semi-précieuse qui est une espèce de jaspe. | Dont la fleur suit le cours du soleil | Installation qui s'oriente vers le Soleil.",""
"héliport","m","héliport","elipOR","0.135","Aéroport pour hélicoptères.",""
"hélix","m","hélix","eliks","0.07","Le grand bord replié de l'oreille externe.",""
"hématie","f","hématie","emasi","0.068","Cellule présente dans le sang servant à transporter l'oxygène.",""
"hématite","f","hématite","ematit","0.053","Minéralogie Sanguine, minerai de fer d'un rouge brun. | On le dit aussi, adjectivement",""
"hématocèle","f","hématocèle","ematosEl","0.053","Chirurgie Certaines hémorragies provenant de kystes des organes génitaux de l'homme ou du pelvis chez la femme.",""
"hématocrite","m","hématocrite","ematokRit","0.15","Désigne le pourcentage relatif du volume des cellules circulant du sang par rapport au volume total du sang.",""
"hématologie","f","hématologie","ematoloZi","0.078","Partie de la physiologie qui traite du sang.",""
"hématopoïèse","f","hématopoïèse","ematopojEz","0.053","Processus de fabrication des cellules sanguines.",""
"hématose","f","hématose","ematoz","0.053","Physiologie Sanguification, action ou fonction naturelle par laquelle le chyle se convertit en sang, et le sang veineux en sang artériel.",""
"hématurie","f","hématurie","ematyRi","0.005","Émission de sang par les voies urinaires, qui accompagne certaines maladies.",""
"hémicycle","m","hémicycle","emisikl","0.262","Demi-cercle ; se dit principalement d'un Lieu formé en amphithéâtre pour une assemblée d'auditeurs et de spectateurs. | parlement | Dispositif en bois qui sert à soutenir les pierres d'une voûte en construction.",""
"hémiplégie","f","hémiplégie","emipleZi","0.358","Paralysie complète ou non, frappant une moitié latérale du corps.",""
"hémiptère","m","hémiptère","emiptER","0.053","Se dit d'insectes appartenant à l'ordre des Hemiptera et caractérisés par leurs deux paires d'ailes dont l'une, en partie cornée, est transformée en hémiélytre. | Ordre d'insectes rassemblant les hétéroptères (punaises etc.) et les homoptères (cigales, cicadelles, pucerons etc.)",""
"hémistiche","m","hémistiche","emistiS","0.103","Versification La moitié d'un vers alexandrin.",""
"hémolyse","f","hémolyse","emoliz","0.018","Lyse des hématies.",""
"hémophile","m","hémophile","emofil","0.134","Personne atteinte d'hémophilie. | Qui est atteint d'hémophilie.",""
"hémophilie","f","hémophilie","emofili","0.088","prédisposition aux hémorragies.",""
"hémoptysie","f","hémoptysie","emoptizi","0.384","Crachement de sang, hémorragie de la membrane muqueuse qui tapisse les voies respiratoires, le larynx, la trachée-artère et les bronches.",""
"hémorroïde","f","hémorroïde","emoRoid","0.394","Varice arrondie et douloureuse qui se forme au pourtour de l'anus, et qui peut laisser échapper de temps à autre une certaine quantité de sang.",""
"hémostase","f","hémostase","emOstaz","0.032","Stagnation du sang causée par la pléthore, arrêt d'une hémorragie. | Chirurgie Opération qui a pour but d'arrêter l'écoulement du sang.",""
"hépatique","","hépatique","epatik","0.029","Genre de renonculacées dont une espèce, l'hépatique commune, était employée comme remède dans les affections du foie. | Division de l'embranchement des plantes embryophytes, Hepaticophyta ou Hepaticae.",""
"hépatomégalie","f","hépatomégalie","epatOmegali","0.002","Augmentation du volume du foie.",""
"héraldique","f","héraldique","eRaldik","0.105","Qui est relatif aux blasons, aux armoiries. | Science du blason, des armoiries.",""
"hérésiarque","","hérésiarque","eRezjaRk","0.101","Auteur d'une hérésie;  chef d'une secte hérétique.",""
"héroïde","f","héroïde","eRoid","0.053","Épître en vers attribuée à la femme ou à l'amante d'un héros et adressée à ce héros.",""
"héroïnomane","","héroïnomane","eRoinoman","0.005","Qui a l'habitude de consommer de l'héroïne.",""
"hétaïre","f","hétaïre","etaiR","0.154","Grèce antique Femme éduquée et de haut niveau social qui offre compagnie et services sexuels, souvent de manière non ponctuelle. | soutenu et plaisant Femme vénale, qui fait profession du commerce charnel.",""
"hétérochromie","f","hétérochromie","eteRokROmi","0.008","Coloration différente des deux yeux.",""
"hétérodoxie","f","hétérodoxie","eteRodOksi","0.053","Théologie dogmatique Opposition aux opinions orthodoxes.",""
"hétéroptère","m","hétéroptère","eteROptER","0.053","Insecte appartenant à l'ordre des hémiptères.",""
"hévéa","m","hévéa","evea","0.158","Nom vernaculaire de l'arbre Hevea brasiliensis, qui est connu pour produire du latex.",""
"hi-han","m","hi-han","i@","0.062","Braiment.",""
"hidalgo","m","hidalgo","idalgo","0.348","Membre de la petite noblesse espagnole.",""
"hiérophante","m","hiérophante","jeRof@t","0.15","Antiquité grecque Plus particulièrement le prêtre qui présidait aux mystères d'Éleusis et instruisait les initiés. | Prêtre qui explique les mystères du sacré.",""
"high-life","m","high-life","ajlajf","0.173","Locution anglaise qu'on emploie quelquefois en français et qui signifie la manière de vivre des hautes classes.",""
"hile","m","hile","il","0.06","Espèce de cicatrice que porte une graine et qui indique le point par lequel elle tenait à la plante qui l'a produite. | Point où un viscère reçoit ses vaisseaux.",""
"himalaya","m","himalaya","imalaja","0.108","Chaîne de montagnes s'étendant les territoires de l'Inde, de la Chine, du Pakistan, du Bhoutan, et du Népal.",""
"hindi","m","hindi","indi","0.088","Langue de l'Inde, écrite avec l'alphabet dévanâgarî.",""
"hindouisme","m","hindouisme","5duizm","0.07","Religion comptant neuf-cent millions de fidèles, originaire d'Inde et présente surtout dans ce sous-continent.",""
"hindoustani","m","hindoustani","5dustani","0.008","Langue dérivée du sanscrit, qui se parle dans les principales villes de l'Inde, jusqu'au début du XXe siècle désignait la langue de l'Hindûsthân, qui donnera l'hindi et l'ourdou.",""
"hippogriffe","m","hippogriffe","ipogRif","0.153","Animal fabuleux mi-cheval, mi-aigle ou mi-cheval, mi-griffon.",""
"hirsutisme","m","hirsutisme","iRsytizm","0.005","Développement excessif du système pileux, notamment chez des femmes.",""
"hispanique","","hispanique","ispanik","0.055","Qui a trait à l'Espagne ou aux Espagnols. | Qui a trait aux populations hispanophones d'Amérique latine.",""
"hispano-américain","m","hispano-américain","ispanoameRik5","0.002","Variante, dans l'orthographe traditionnelle, de hispanoaméricain .",""
"hispanophone","","hispanophone","ispanofOn","0.005","Qui parle l'espagnol (castillan).",""
"histologie","f","histologie","istoloZi","0.028","Science qui étudie des tissus organiques. | Analyse des tissus cellulaires. | Patient dont l'analyse a révélé une pathologie.",""
"histoplasmose","f","histoplasmose","istoplasmoz","0.002","Maladie infectieuse du poumon causée par un champignon appelé Histoplasma capsulatum.",""
"historiette","f","historiette","istoRjEt","0.18","Court récit de quelque aventure galante ou plaisante, ou d'autres choses de peu d'importance.",""
"historiographie","f","historiographie","istoRjogRafi","0.028","Recueil d'ouvrages d'historiographes.",""
"histrion","m","histrion","istRij§","0.326","Comédien, mime qui jouait des farces grossières. | Personnage qui se donne en spectacle en usant d'effets outranciers. | Mauvais comédien.",""
"hittite","m","hittite","itit","0.053","Langue morte autrefois parlée par les Hittites. | Relatif aux Hittites.",""
"hockeyeur","m","hockeyeur","OkEj9R","0.195","Joueur de hockey.",""
"hoirie","f","hoirie","waRi","0.229","Ensemble des biens qui appartiennent à un ou plusieurs héritiers.",""
"holding","","holding","OldiG","0.329","Société ayant pour vocation de regrouper des participations dans diverses sociétés et dont la fonction est d'en assurer l'unité de direction.",""
"hollandaise","f","hollandaise","ol@dEz","0.15","Espèce de machine d'épuisement.",""
"hollande","f","hollande","ol@d","0.058","Région des Pays-Bas qui a longtemps été la plus riche du pays. | Nom utilisé couramment pour désigner les Pays-Bas. | Nom de deux provinces des Pays-Bas, la Hollande septentrionale et la Hollande méridionale.",""
"holographie","f","holographie","ologRafi","0.068","procédé de photographie en trois dimensions utilisant les propriétés de la lumière cohérente issue des lasers.",""
"homéopathe","","homéopathe","omeopat","0.07","Médecin qui adopte les principes de l'homéopathie. Adjectivement,",""
"homéopathie","f","homéopathie","omeopati","0.25","Méthode thérapeutique qui consiste à donner au patient à dose infinitésimale la substance qui, à dose plus élevée, donnerait la maladie à une personne saine (« principe de similitude »).",""
"homme-femme","m","homme-femme","Omfam","0.142","Composé d'un homme et d'une femme. | Relatif aux hommes et aux femmes. Souvent écrit hommes-femmes.",""
"homme-grenouille","m","homme-grenouille","OmgR°nuj","0.17","Plongeur équipé d'un scaphandre autonome (avec détendeur), équipement qui lui permet d'évoluer sous l'eau en toute liberté et sans avoir à être relié à la surface par un tube respiratoire.",""
"homme-sandwich","m","homme-sandwich","Oms@dwitS","0.308","Homme utilisé pour la publicité et qui se promène avec une affiche sur la poitrine et une autre dans le dos.",""
"homologue","","homologue","omolOg","0.19","Qui, dans des figures rectilignes semblables, se correspond et est opposé à des angles égaux en parlant de Chacun des côtés de ces figures. | Qui provient d'un autre individu ayant les mêmes caractéristiques sanguines. | Personne ayant une fonction identique à une autre.",""
"homonymie","f","homonymie","omonimi","0.202","Relation entre plusieurs formes linguistiques ayant le même signifiant graphique et/ou phonique et des signifiés totalement différents. | Formes linguistiques qui ont entre elles cette relation.",""
"homophile","m","homophile","omofil","0.108","Homosexuel.",""
"homophilie","f","homophilie","omofili","0.053","Homosexualité. | Sympathie éprouvée envers les homosexuel(le)(s)",""
"homophone","m","homophone","OmOfOn","0.002","Mot ayant la même prononciation qu'un ou plusieurs autres. | Qualifie des mots de sens différents qui se prononcent de la même façon. | Qui a le même son.",""
"homophonie","f","homophonie","omofoni","0.053","Concert de plusieurs voix qui chantent à l'unisson. | Graphies qui représentent un même son.",""
"homosexuelle","f","homosexuelle","omoseks8El","0.121","Lesbienne.",""
"homuncule","m","homuncule","Om§kyl","0.035","Petit homme.",""
"hondurien","m","hondurien","§dyRj5","0.002","Personne habitant ou originaire d'Honduras. | Ayant un rapport, un lien avec Honduras.",""
"hong kong","","hong kong","§gk§g","0.008","Ancienne colonie britannique maintenant rétrocédée à la Chine.",""
"hongre","m","hongre","§gR","0.332","Qui a été châtré, en parlant du cheval et par extension d'autres animaux comme l'âne. | par substantivation Cheval castré. | Homme castré.",""
"hooligan","m","hooligan","uligan","0.181","Fauteur de troubles, en particulier en parlant des supporteurs des clubs de foot.",""
"hoplite","m","hoplite","oplit","0.053","Antiquité grecque Fantassin pesamment armé, qui avait pour armes défensives le casque, le bouclier, la cuirasse, les bottines, garnies de fer ; pour armes offensives la pique et l'épée.",""
"horion","m","horion","oRj§","0.382","Coup rudement déchargé sur la tête ou sur les épaules.",""
"hornblende","f","hornblende","ORnbl5nd","0.002","Minéral de la famille des amphiboles calciques.",""
"horripilation","f","horripilation","oRipilasj§","0.13","Frissonnement accompagné de froid, qui fait hérisser les poils.",""
"hors-jeu","m","hors-jeu","ORZ2","0.2","Football Faute qui consiste à faire une passe à un coéquipier hors-jeu. | Football Qui se situe en avant du ballon et de l'avant-dernier défenseur. | rugby Dans une Position trop avancée qui requiert de ne pas interférer avec le jeu et, dans certains cas, de se replier.",""
"horse-guard","m","horse-guard","ORsgwaRd","0.081","Mot anglais qui désigne un militaire appartenant au régiment des gardes à cheval, de la cavalerie de la maison du roi et tout particulièrement le 3e régiment, le « Royal Horse Guards ».",""
"horticulture","f","horticulture","ORtikyltyR","0.26","Art de cultiver les jardins.",""
"hospitalier","m","hospitalier","Ospitalje","0.306","Qui aime à pratiquer l'hospitalité. | Se dit des lieux où l'on pratique volontiers l'hospitalité. | S'est dit de certains ordres militaires, institués originairement pour recevoir les pèlerins. | Relatif à Hôpital-Camfrout, commune française située dans le département du Finistère. | Relatif à Lhôpital, commune française située dans le département de l'Ain. | Relatif à L'Hôpital-le-Grand, commune française située dans le département de la Loire. | Par substantivation de l'adjectif : Chevalier ou religieuse hospitaliers. | Habitant de Hôpital-Camfrout, commune française située dans le département du Finistère. | Habitant de Lhôpital, commune française située dans le département de l'Ain. | Habitant de L'Hôpital-le-Grand, commune française située dans le département de la Loire.",""
"hospodar","m","hospodar","OspodaR","0.304","Titre des monarques de Valachie et de Moldavie",""
"hottée","f","hottée","ote","0.053","Le contenu d'une hotte pleine.",""
"houari","m","houari","waRi","0.053","Qualifie une voilure à corne dont le pic s'approche d'environ 25 à 30 degrés de la verticale, voire moins. | Portion du mat qui supporte cette voile. | Bateau équipé de cette voilure.",""
"houe","f","houe","u","0.348","Instrument de fer, large et recourbé, qui a un manche de bois, et avec lequel on remue la terre en la tirant vers soi.",""
"houillère","f","houillère","ujER","0.166","Mine de houille.",""
"houligan","m","houligan","uligan","0.053","Fauteur de troubles, en particulier en parlant des supporteurs des clubs de foot.",""
"hourdis","m","hourdis","uRdi","0.053","Élément en bois, jadis, en béton ou terre cuite, voire en polystyrène expansé, aujourd'hui, et servant à garnir, entre poutrelles ou poutres pour la réalisation de planchers. Sur le hourdis, une chape est coulée.",""
"house music","f","house music","awzmjyzik","0.002","Genre musical caractérisé par un rythme minimal, une ligne de basse funky  et de voix.",""
"hoyau","m","hoyau","wajo","0.105","Histoire des techniques Houe à lame forte, aplatie, à deux fourchons, qui était employée au défoncement des terrains et aux façons de la petite culture qui demandent le plus de force. | parfois Le même outil avec un fer de pioche.",""
"huard","m","huard","8aR","0.266","Rapace diurne, Haliaeetus albicilla. | Plongeon arctique, Gavia immer. | Dollar canadien, parce que la pièce d'un dollar montre un huard côté pile.",""
"huche","f","huche","yS","0.351","Grand coffre de bois pour pétrir ou conserver le pain. | Caisse trouée que l'on enfonce dans l'eau et dans laquelle on dépose le poisson que l'on doit consommer. | Auge qui reçoit les minerais bocardés. | Navire en huche :  Navire à poupe élevée. | Porte (picard, ardennais, chti, apparenté à huis, huisserie) | :* À l'huche ! : Dehors, à la porte ! | :* Passer à l'huche : Passer à la trappe, être oublié.",""
"huchet","m","huchet","ySE","0.202","Cornet avec lequel on appelle ou on avertit de loin. | Cor de chasse représenté dans les armoiries.",""
"huguenot","m","huguenot","yg°no","0.306","Appellation donnée par leurs ennemis aux protestants calvinistes français pendant les guerres de religion.",""
"huguenote","f","huguenot","yg°nOt","0.256","Appellation donnée par leurs ennemis aux protestants calvinistes français pendant les guerres de religion.",""
"huilier","m","huilier","8ilje","0.078","Garniture de métal, de bois, de faïence ou de porcelaine destinée à contenir les burettes où l'on met l'huile et le vinaigre qu'on sert sur la table. | La burette contenant l'huile, simplement.",""
"huisserie","f","huisserie","8is°Ri","0.19","Assemblage de pièces de bois qui forment la baie, l'ouverture d'une porte.",""
"huîtrier","m","huîtrier","8itRie","0.029","Oiseau échassier, limicole friand d'huîtres et de coquillages.",""
"huîtrière","f","huîtrière","8itRijER","0.053","Variante, dans l'orthographe traditionnelle, de huitrière .",""
"hulotte","f","hulotte","ylOt","0.381","Espèce de chouette noire (Strix aluco L. 1758).",""
"humanitaire","m","humanitaire","ymanitER","0.142","Certaines opinions, de certaines doctrines qui visent au bien universel de l'humanité. | Personnes qui professent ces opinions, ces doctrines.",""
"humanitarisme","m","humanitarisme","ymanitaRizm","0.08","Amour de l'humanité excessif et prétentieux. | aujourd'hui Activisme pour la défense des Droits de l'Homme.",""
"humanoïde","","humanoïde","ymanoid","0.245","De forme humaine. | Robot humanoïde.",""
"humérus","m","humérus","ymeRys","0.31","Os du bras, depuis l'épaule jusqu'au coude.",""
"humidificateur","m","humidificateur","ymidifikat9R","0.103","Appareil qui permet d'augmenter l'humidité de l'air.",""
"hune","f","hune","yn","0.296","Sorte de plate-forme élevée qui est en saillie autour des mâts et qui sert à soutenir les hommes chargés des manœuvres hautes. | Grosse pièce de bois terminée par deux tourillons et à laquelle une cloche  est suspendue.",""
"hunier","m","hunier","ynje","0.115","Mât portant une hune. | Voile du mât de hune.",""
"huppe","f","huppe","yp","0.27","Oiseau de la grosseur d'un merle, qui a une petite touffe de plumes sur la tête, Upupa epops, ordre des passereaux. | Touffe de plumes que certains oiseaux ont sur la tête. | Foyer de pourriture qui se trouve dans une pièce de bois.",""
"hurluberlu","m","hurluberlu","yRlybERly","0.335","Personne étourdie ou extravagante.",""
"huron","m","huron","yR§","0.004","Langue des Hurons, peuple amérindien de l'est du Canada, de la famille iroquoienne. | Relatif au peuple et à la culture des Hurons.",""
"huronne","f","huron","yROn","0.004","Langue des Hurons, peuple amérindien de l'est du Canada, de la famille iroquoienne. | Relatif au peuple et à la culture des Hurons.",""
"hurrah","m","hurrah","yRa","0.029","Mot clamé pour crier sa joie. | Cri de joie, acclamation.",""
"hussite","m","hussite","ysit","0.128","Membre d'une secte fondée par Jean Hus, qui renouvela les doctrines des Vaudois. | Relatif à cette secte et à ses membres.",""
"hyacinthe","f","hyacinthe","jas5t","0.062","Synonyme de quartz hématoïde. | Pharmacie Terme désuet. | Personnage de la mythologie grecque.",""
"hybridation","f","hybridation","ibRidasj§","0.012","Fécondation des ovules d'une fleur par le pollen d'une fleur appartenant à une autre espèce, soit du même genre, soit d'un genre voisin.",""
"hydne","m","hydne","idn","0.053","Champignon à chapeau irrégulier, hérissé en dessous d'aiguillons mous, dont presque toutes les espèces sont alimentaires.",""
"hydratation","f","hydratation","idRatasj§","0.032","Combinaison d'un corps avec une ou plusieurs molécules d'eau.",""
"hydrate","m","hydrate","idRat","0.075","Nom générique des corps composés d'eau et d'un oxyde métallique, ou d'eau et d'un acide. Les oxydes sont précipités des sels par les bases alcalines à l'état d'hydrate.",""
"hydraulicien","m","hydraulicien","idRolisj5","0.002","Ingénieur qui s'occupe de l'hydraulique.",""
"hydraulique","f","hydraulique","idRolik","0.105","Qui est mû par un liquide, notamment de l'eau. | Qui durcit avec de l'eau. | Relatif à la branche de la science qui étudie les liquides. | Branche de la physique qui étudie les liquides.",""
"hydre","f","hydre","idR","0.298","Hydre de Lerne : Serpent fabuleux à sept têtes qui renaissaient dès qu'on lui en avait coupé une. | Ennemi dangereux, menace. | Se dit quelquefois d'une couleuvre ou d'un serpent d'eau à sept têtes. | Genre de reptiles ophidiens correspondant présentement à une section des hydrophides, ou serpents d'eau. | Genre de polypes, où l'on distingue l'hydre verte de Linné. | Plante du genre cornifle (Ceratophyllum demersum, L.) (cératophyllées). | Hydre hydraulique : Machine qui, au moyen d'un puits ou d'une petite source, procure une chute d'eau assez considérable pour être utilisée. | Alchimie Autre nom de la pierre philosophale. | Constellation équatoriale (génitif Hydrae, abréviation Hya), la plus vaste des 88 constellations, s'étendant sur plus de 1300 degrés carrés. Elle touche au Cancer, au Petit Chien, à la Licorne, la Poupe, la Boussole, la Machine pneumatique, au Centaure, à la Balance, la Vierge, au Corbeau, à la Coupe, au Sextant, et au Lion. | Satellite naturel de la planète naine Pluton.",""
"hydrocarbure","m","hydrocarbure","idRokaRbyR","0.23","Molécules organiques formées de carbone et d'hydrogène seulement.",""
"hydrocèle","f","hydrocèle","idRosEl","0.053","Tumeur due à l'accumulation de la sérosité dans le tissu cellulaire du scrotum, ou dans quelqu'une des enveloppes du testicule et du cordon spermatique.",""
